sample_name,group,R1,replicate
AAVS1-1655+1656_A1890b_B1902a,AAVS1-1655+1656_A1890b_B1902a,SRR17170389.fastq.gz,1
AAVS1-1655+1656_A1890b_B1902c,AAVS1-1655+1656_A1890b_B1902c,SRR17170387.fastq.gz,1
AAVS1-1655+1656_A1890b_B1962a,AAVS1-1655+1656_A1890b_B1962a,SRR17170386.fastq.gz,1
AAVS1-1655+1656_A1890b_B1962b,AAVS1-1655+1656_A1890b_B1962b,SRR17170384.fastq.gz,1
AAVS1-1655+1656_A1890b_B1962c,AAVS1-1655+1656_A1890b_B1962c,SRR17170383.fastq.gz,1
AAVS1-1655+1656_A1890c_B1902a,AAVS1-1655+1656_A1890c_B1902a,SRR17170382.fastq.gz,1
AAVS1-1655+1656_A1890c_B1902b,AAVS1-1655+1656_A1890c_B1902b,SRR17170381.fastq.gz,1
AAVS1-1655+1656_A1890c_B1902c,AAVS1-1655+1656_A1890c_B1902c,SRR17170380.fastq.gz,1
AAVS1-1655+1656_A1890c_B1962a,AAVS1-1655+1656_A1890c_B1962a,SRR17170379.fastq.gz,1
AAVS1-1655+1656_A1890c_B1962b,AAVS1-1655+1656_A1890c_B1962b,SRR17170378.fastq.gz,1
AAVS1-1655+1656_A1890c_B1962c,AAVS1-1655+1656_A1890c_B1962c,SRR17170377.fastq.gz,1
AAVS1-1655+1710_A1890b_B1902b,AAVS1-1655+1710_A1890b_B1902b,SRR17170388.fastq.gz,1
AAVS1-1707+1710_A3786a_B3839a,AAVS1-1707+1710_A3786a_B3839a,SRR17170268.fastq.gz,1
AAVS1-1707+1710_A3786a_B3839b,AAVS1-1707+1710_A3786a_B3839b,SRR17170267.fastq.gz,1
AAVS1-1707+1710_A3786a_B3839c,AAVS1-1707+1710_A3786a_B3839c,SRR17170265.fastq.gz,1
AAVS1-1707+1710_A3786a_B3903a,AAVS1-1707+1710_A3786a_B3903a,SRR17170264.fastq.gz,1
AAVS1-1707+1710_A3786a_B3903b,AAVS1-1707+1710_A3786a_B3903b,SRR17170263.fastq.gz,1
AAVS1-1707+1710_A3786a_B3903c,AAVS1-1707+1710_A3786a_B3903c,SRR17170262.fastq.gz,1
AAVS1-1707+1710_A3786a_B3930a,AAVS1-1707+1710_A3786a_B3930a,SRR17170261.fastq.gz,1
AAVS1-1707+1710_A3786a_B3930b,AAVS1-1707+1710_A3786a_B3930b,SRR17170260.fastq.gz,1
AAVS1-1707+1710_A3786a_B3930c,AAVS1-1707+1710_A3786a_B3930c,SRR17170259.fastq.gz,1
AAVS1-1707+1710_A3786b_B3839a,AAVS1-1707+1710_A3786b_B3839a,SRR17170258.fastq.gz,1
AAVS1-1707+1710_A3786b_B3839b,AAVS1-1707+1710_A3786b_B3839b,SRR17170257.fastq.gz,1
AAVS1-1707+1710_A3786b_B3839c,AAVS1-1707+1710_A3786b_B3839c,SRR17170256.fastq.gz,1
AAVS1-1707+1710_A3786b_B3903a,AAVS1-1707+1710_A3786b_B3903a,SRR17170254.fastq.gz,1
AAVS1-1707+1710_A3786b_B3903b,AAVS1-1707+1710_A3786b_B3903b,SRR17170253.fastq.gz,1
AAVS1-1707+1710_A3786b_B3903c,AAVS1-1707+1710_A3786b_B3903c,SRR17170252.fastq.gz,1
